"Source:","/home/jan/workspace/SCM-140-ADSR/schematics/src/mainboard/mainboard_kicad/mainboard.kicad_sch"
"Date:","Fri 08 Jul 2022 05:48:38 PM CEST"
"Tool:","Eeschema (6.0.6)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","104"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C6, ","2","3.3u/35v","CPOL-USE2.5-5","mainboard:E2,5-5","",""
"C2, C3, ","2","47u/16v","CPOL-USE2.5-5","mainboard:E2,5-5","",""
"C4, C5, C7, ","3","0.01u","C-EU025-024X044","mainboard:C025-024X044","",""
"D1, D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, ","12","1N4148DO35-7","1N4148DO35-7","mainboard:DO35-7","",""
"IC1, IC2, IC3, ","3","4558N","4558N","mainboard:DIL08","",""
"JP1, JP5, JP7, ","3","PINHD-1X2","PINHD-1X2","mainboard:1X02","",""
"JP3, JP4, ","2","PINHD-1X6","PINHD-1X6","mainboard:1X06","",""
"JP6, JP8, ","2","PINHD-1X3","PINHD-1X3","mainboard:1X03","",""
"PWR0, ","1","ML10","ML10","mainboard:ML10","",""
"R1, R18, R32, R48, ","4","33k","R-US_0204{slash}7","mainboard:0204_7","",""
"R2, R4, R6, R15, R33, R35, R37, R45, ","8","22k","R-US_0204{slash}7","mainboard:0204_7","",""
"R3, R5, R24, R34, R36, R54, ","6","10k","R-US_0204{slash}7","mainboard:0204_7","",""
"R7, R38, ","2","150k","R-US_0204{slash}7","mainboard:0204_7","",""
"R8, R11, R13, R17, R28, R39, R43, R47, R58, R62, ","10","47k","R-US_0204{slash}7","mainboard:0204_7","",""
"R9, R14, R40, R44, ","4","56k","R-US_0204{slash}7","mainboard:0204_7","",""
"R10, R41, ","2","560k","R-US_0204{slash}7","mainboard:0204_7","",""
"R16, R23, R29, R30, R46, R53, R59, R60, ","8","100k","R-US_0204{slash}7","mainboard:0204_7","",""
"R20, R25, R50, R55, ","4","330","R-US_0204{slash}7","mainboard:0204_7","",""
"R22, R52, ","2","15k","R-US_0204{slash}7","mainboard:0204_7","",""
"R27, R31, R57, R61, ","4","1k","R-US_0204{slash}7","mainboard:0204_7","",""
"T1, T3, T5, T6, T8, T10, T11, T12, T13, T14, T16, T18, T19, T20, ","14","-NPN-TO92-CBE","-NPN-TO92-CBE","mainboard:TO92-CBE","",""
"T2, T4, T7, T9, T15, T17, ","6","-PNP-TO92-EBC","-PNP-TO92-EBC","mainboard:TO92-EBC","",""
