"Source:","/home/jan/workspace/TH-555-VCO/schematics/src/mainboard/mainboard-kicad/mainboard.kicad_sch"
"Date:","Wed 06 Jul 2022 01:51:43 PM CEST"
"Tool:","Eeschema (6.0.5)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","71"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, C7, C8, C9, C10, ","6","0.01uF","C-EU050-024X044","mainboard:C050-024X044","",""
"C3, ","1","0.1uF","C-EU050-024X044","mainboard:C050-024X044","",""
"C4, ","1","470pF","C-EU050-024X044","mainboard:C050-024X044","",""
"C5, ","1","100pF","C-EU050-024X044","mainboard:C050-024X044","",""
"C6, ","1","0.0022uF","C-EU050-025X075","mainboard:C050-025X075","",""
"C11, C12, ","2","10uF/50v","CPOL-USE2.5-6","mainboard:E2,5-6","",""
"C13, ","1","0.001uF","C-EU050-024X044","mainboard:C050-024X044","",""
"D2, D3, ","2","1N4148DO35-7","1N4148DO35-7","mainboard:DO35-7","",""
"IC1, ","1","555N","555N","mainboard:DIL08","",""
"IC2, ","1","LM13700N","LM13700N","Package_SO:SO-16_5.3x10.2mm_P1.27mm","",""
"IC3, IC4, ","2","TL074P","TL074P","Package_SO:SO-14_5.3x10.2mm_P1.27mm","",""
"JP1, JP4, ","2","PINHD-1X3","PINHD-1X3","mainboard:1X03","",""
"JP2, ","1","PINHD-1X6","PINHD-1X6","mainboard:1X06","",""
"JP3, ","1","ML10","ML10","mainboard:ML10","",""
"R2, R3, R4, R27, R30, ","5","10k","R-US_0204{slash}7","mainboard:0204_7","",""
"R5, R44, ","2","1k","R-US_0204{slash}7","mainboard:0204_7","",""
"R6, ","1","150k","R-US_0204{slash}7","mainboard:0204_7","",""
"R7, R13, R36, R46, ","4","100k","R-US_0204{slash}7","mainboard:0204_7","",""
"R8, R15, R21, R38, ","4","1M","R-US_0204{slash}7","mainboard:0204_7","",""
"R9, ","1","137k","R-US_0204{slash}7","mainboard:0204_7","",""
"R11, R14, R39, ","3","100k","TRIM_US-RJ9W","mainboard:RJ9W","",""
"R12, R28, ","2","4.7k","R-US_0204{slash}7","mainboard:0204_7","",""
"R16, ","1","1.5M","R-US_0204{slash}7","mainboard:0204_7","",""
"R17, R41, ","2","22k","R-US_0204{slash}7","mainboard:0204_7","",""
"R18, ","1","100","TRIM_US-RJ9W","mainboard:RJ9W","",""
"R19, R35, ","2","390","R-US_0204{slash}7","mainboard:0204_7","",""
"R20, ","1","2k","THERMISTOR-5","mainboard:R-5","",""
"R26, R29, ","2","1.5k","R-US_0204{slash}7","mainboard:0204_7","",""
"R31, R32, ","2","20k","R-US_0204{slash}7","mainboard:0204_7","",""
"R33, R34, R50, ","3","2k","R-US_0204{slash}7","mainboard:0204_7","",""
"R37, ","1","39k","R-US_0204{slash}7","mainboard:0204_7","",""
"R40, ","1","25k","TRIM_US-RJ9W","mainboard:RJ9W","",""
"R42, ","1","300k","R-US_0204{slash}7","mainboard:0204_7","",""
"R43, ","1","5.6k","R-US_0204{slash}7","mainboard:0204_7","",""
"R45, ","1","120k","R-US_0204{slash}7","mainboard:0204_7","",""
"R47, ","1","330k","R-US_0204{slash}7","mainboard:0204_7","",""
"R48, ","1","2.2k","R-US_0204{slash}7","mainboard:0204_7","",""
"R49, ","1","2.2M","R-US_0204{slash}7","mainboard:0204_7","",""
"R51, ","1","1.8k","R-US_0204{slash}7","mainboard:0204_7","",""
"T3, ","1","-NPN-TO92-EBC","-NPN-TO92-EBC","mainboard:TO92-EBC","",""
"T4, T5, ","2","-PNP-TO92-EBC","-PNP-TO92-EBC","mainboard:TO92-EBC","",""
